x/H,y/H,z/H,<u/uH>,Uu,<v/uH>,Uv,<w/uH>,Uw,<urms/uH>,Uurms,<vrms/uH>,Uvrms,<wrms/uH>,Uwrms,<tke/uH>,Utke,buffer
-1.000 ,0.000 ,0.005 ,0.010 ,0.004 ,0.007 ,0.003 ,0.045 ,0.005 ,0.0458 ,0.0062 ,0.0034 ,0.0010 ,0.0029 ,0.0008 ,0.0260 ,0.0032 ,0.0000 
-1.000 ,0.000 ,0.050 ,0.253 ,0.017 ,0.007 ,0.004 ,0.036 ,0.005 ,0.0306 ,0.0042 ,0.0045 ,0.0012 ,0.0045 ,0.0010 ,0.0198 ,0.0022 ,0.0000 
-1.000 ,0.000 ,0.125 ,0.386 ,0.025 ,0.007 ,0.005 ,0.039 ,0.006 ,0.0246 ,0.0034 ,0.0064 ,0.0015 ,0.0082 ,0.0014 ,0.0196 ,0.0020 ,0.0000 
-1.000 ,0.000 ,0.250 ,0.488 ,0.032 ,0.008 ,0.006 ,0.024 ,0.007 ,0.0320 ,0.0044 ,0.0069 ,0.0016 ,0.0121 ,0.0018 ,0.0255 ,0.0025 ,0.0000 
-1.000 ,0.000 ,0.500 ,0.636 ,0.041 ,0.008 ,0.008 ,0.002 ,0.008 ,0.0389 ,0.0053 ,0.0074 ,0.0017 ,0.0157 ,0.0021 ,0.0310 ,0.0030 ,0.0000 
-1.000 ,0.000 ,0.750 ,0.771 ,0.050 ,0.007 ,0.009 ,0.021 ,0.009 ,0.0441 ,0.0060 ,0.0079 ,0.0018 ,0.0165 ,0.0022 ,0.0343 ,0.0033 ,0.0000 
-1.000 ,0.000 ,0.875 ,0.827 ,0.054 ,0.008 ,0.010 ,0.027 ,0.010 ,0.0450 ,0.0061 ,0.0087 ,0.0019 ,0.0158 ,0.0021 ,0.0348 ,0.0034 ,0.0000 
-1.000 ,0.000 ,0.950 ,0.861 ,0.056 ,0.008 ,0.010 ,0.035 ,0.011 ,0.0434 ,0.0059 ,0.0097 ,0.0020 ,0.0171 ,0.0023 ,0.0351 ,0.0033 ,0.0000 
-1.000 ,0.000 ,1.000 ,0.879 ,0.057 ,0.008 ,0.010 ,0.038 ,0.011 ,0.0411 ,0.0056 ,0.0115 ,0.0023 ,0.0159 ,0.0022 ,0.0343 ,0.0032 ,0.0000 
-1.000 ,0.000 ,1.050 ,0.897 ,0.058 ,0.007 ,0.010 ,0.052 ,0.011 ,0.0397 ,0.0054 ,0.0134 ,0.0025 ,0.0154 ,0.0021 ,0.0342 ,0.0032 ,0.0000 
-1.000 ,0.000 ,1.125 ,0.931 ,0.060 ,0.000 ,0.011 ,0.061 ,0.012 ,0.0339 ,0.0046 ,0.0173 ,0.0030 ,0.0117 ,0.0018 ,0.0315 ,0.0029 ,0.0000 
-1.000 ,0.000 ,1.250 ,0.985 ,0.064 ,0.000 ,0.011 ,0.059 ,0.012 ,0.0342 ,0.0047 ,0.0178 ,0.0031 ,0.0119 ,0.0018 ,0.0319 ,0.0030 ,0.0000 
-1.000 ,0.000 ,1.500 ,1.076 ,0.070 ,-0.001 ,0.012 ,0.058 ,0.013 ,0.0332 ,0.0046 ,0.0144 ,0.0027 ,0.0121 ,0.0018 ,0.0299 ,0.0028 ,0.0000 
-0.750 ,0.000 ,0.005 ,-0.290 ,0.019 ,0.015 ,0.004 ,0.013 ,0.005 ,0.1096 ,0.0144 ,0.0039 ,0.0011 ,0.0132 ,0.0019 ,0.0633 ,0.0073 ,0.0000 
-0.750 ,0.000 ,0.050 ,-0.072 ,0.006 ,0.014 ,0.003 ,0.019 ,0.004 ,0.0569 ,0.0076 ,0.0050 ,0.0013 ,0.0284 ,0.0032 ,0.0452 ,0.0042 ,0.0000 
-0.750 ,0.000 ,0.125 ,0.323 ,0.021 ,0.011 ,0.005 ,-0.024 ,0.005 ,0.0312 ,0.0043 ,0.0077 ,0.0017 ,0.0275 ,0.0031 ,0.0332 ,0.0028 ,0.0000 
-0.750 ,0.000 ,0.250 ,0.375 ,0.025 ,0.010 ,0.005 ,-0.077 ,0.008 ,0.0259 ,0.0036 ,0.0087 ,0.0019 ,0.0155 ,0.0021 ,0.0251 ,0.0023 ,0.0000 
-0.750 ,0.000 ,0.500 ,0.458 ,0.030 ,0.010 ,0.006 ,-0.092 ,0.009 ,0.0283 ,0.0039 ,0.0096 ,0.0020 ,0.0169 ,0.0022 ,0.0274 ,0.0025 ,0.0000 
-0.750 ,0.000 ,0.750 ,0.535 ,0.035 ,0.010 ,0.007 ,-0.047 ,0.008 ,0.0288 ,0.0040 ,0.0113 ,0.0022 ,0.0157 ,0.0021 ,0.0279 ,0.0025 ,0.0000 
-0.750 ,0.000 ,0.875 ,0.633 ,0.041 ,0.009 ,0.008 ,-0.003 ,0.008 ,0.0298 ,0.0041 ,0.0123 ,0.0024 ,0.0141 ,0.0020 ,0.0281 ,0.0026 ,0.0000 
-0.750 ,0.000 ,0.950 ,0.733 ,0.048 ,0.009 ,0.009 ,0.010 ,0.009 ,0.0335 ,0.0046 ,0.0140 ,0.0026 ,0.0154 ,0.0021 ,0.0314 ,0.0028 ,0.0000 
-0.750 ,0.000 ,1.000 ,0.797 ,0.052 ,0.009 ,0.009 ,0.018 ,0.010 ,0.0318 ,0.0044 ,0.0154 ,0.0028 ,0.0145 ,0.0021 ,0.0309 ,0.0028 ,0.0000 
-0.750 ,0.000 ,1.050 ,0.844 ,0.055 ,0.007 ,0.010 ,0.038 ,0.010 ,0.0311 ,0.0043 ,0.0157 ,0.0028 ,0.0146 ,0.0021 ,0.0307 ,0.0028 ,0.0000 
-0.750 ,0.000 ,1.125 ,0.939 ,0.061 ,-0.001 ,0.011 ,0.064 ,0.012 ,0.0330 ,0.0045 ,0.0173 ,0.0030 ,0.0117 ,0.0018 ,0.0310 ,0.0029 ,0.0000 
-0.750 ,0.000 ,1.250 ,1.002 ,0.065 ,0.000 ,0.011 ,0.034 ,0.012 ,0.0335 ,0.0046 ,0.0173 ,0.0030 ,0.0127 ,0.0019 ,0.0317 ,0.0029 ,0.0000 
-0.750 ,0.000 ,1.500 ,1.107 ,0.072 ,0.000 ,0.013 ,-0.011 ,0.013 ,0.0296 ,0.0041 ,0.0155 ,0.0028 ,0.0119 ,0.0018 ,0.0285 ,0.0026 ,0.0000 
-0.625 ,0.000 ,0.005 ,-0.338 ,0.022 ,0.023 ,0.005 ,-0.063 ,0.007 ,0.0520 ,0.0070 ,0.0049 ,0.0013 ,0.0126 ,0.0018 ,0.0347 ,0.0037 ,0.0000 
-0.625 ,0.000 ,0.050 ,0.024 ,0.004 ,0.020 ,0.003 ,-0.091 ,0.007 ,0.0395 ,0.0054 ,0.0066 ,0.0016 ,0.0510 ,0.0048 ,0.0485 ,0.0037 ,0.0000 
-0.625 ,0.000 ,0.125 ,0.224 ,0.015 ,0.015 ,0.004 ,-0.161 ,0.011 ,0.0249 ,0.0035 ,0.0087 ,0.0019 ,0.0298 ,0.0033 ,0.0317 ,0.0026 ,0.0000 
-0.625 ,0.000 ,0.250 ,0.268 ,0.018 ,0.015 ,0.004 ,-0.159 ,0.011 ,0.0215 ,0.0030 ,0.0105 ,0.0021 ,0.0192 ,0.0024 ,0.0256 ,0.0022 ,0.0000 
-0.625 ,0.000 ,0.500 ,0.297 ,0.020 ,0.015 ,0.004 ,-0.130 ,0.010 ,0.0214 ,0.0030 ,0.0129 ,0.0025 ,0.0182 ,0.0024 ,0.0262 ,0.0023 ,0.0000 
-0.625 ,0.000 ,0.750 ,0.357 ,0.024 ,0.015 ,0.005 ,-0.044 ,0.006 ,0.0194 ,0.0027 ,0.0157 ,0.0028 ,0.0149 ,0.0021 ,0.0250 ,0.0022 ,0.0000 
-0.625 ,0.000 ,0.875 ,0.451 ,0.030 ,0.014 ,0.006 ,0.028 ,0.007 ,0.0192 ,0.0027 ,0.0177 ,0.0031 ,0.0152 ,0.0021 ,0.0261 ,0.0023 ,0.0000 
-0.625 ,0.000 ,0.950 ,0.598 ,0.039 ,0.012 ,0.007 ,0.085 ,0.009 ,0.0215 ,0.0030 ,0.0185 ,0.0032 ,0.0149 ,0.0021 ,0.0274 ,0.0024 ,0.0000 
-0.625 ,0.000 ,1.000 ,0.718 ,0.047 ,0.011 ,0.009 ,0.123 ,0.012 ,0.0256 ,0.0036 ,0.0184 ,0.0032 ,0.0144 ,0.0021 ,0.0292 ,0.0026 ,0.0000 
-0.625 ,0.000 ,1.050 ,0.830 ,0.054 ,0.007 ,0.010 ,0.192 ,0.016 ,0.0298 ,0.0041 ,0.0189 ,0.0032 ,0.0147 ,0.0021 ,0.0317 ,0.0028 ,0.0000 
-0.625 ,0.000 ,1.125 ,0.948 ,0.062 ,-0.001 ,0.011 ,0.176 ,0.016 ,0.0314 ,0.0043 ,0.0186 ,0.0032 ,0.0132 ,0.0020 ,0.0316 ,0.0029 ,0.0000 
-0.625 ,0.000 ,1.250 ,1.046 ,0.068 ,-0.001 ,0.012 ,0.066 ,0.013 ,0.0313 ,0.0043 ,0.0181 ,0.0031 ,0.0130 ,0.0019 ,0.0312 ,0.0028 ,0.0000 
-0.625 ,0.000 ,1.500 ,1.117 ,0.072 ,-0.001 ,0.013 ,-0.010 ,0.013 ,0.0302 ,0.0042 ,0.0153 ,0.0028 ,0.0112 ,0.0018 ,0.0284 ,0.0026 ,0.0000 
-0.550 ,0.000 ,0.005 ,-0.052 ,0.005 ,0.029 ,0.003 ,-0.135 ,0.010 ,0.0297 ,0.0041 ,0.0052 ,0.0013 ,0.0109 ,0.0017 ,0.0229 ,0.0023 ,0.0000 
-0.550 ,0.000 ,0.050 ,0.009 ,0.005 ,0.026 ,0.003 ,-0.266 ,0.018 ,0.0208 ,0.0029 ,0.0078 ,0.0017 ,0.0503 ,0.0048 ,0.0394 ,0.0029 ,0.0000 
-0.550 ,0.000 ,0.125 ,0.126 ,0.010 ,0.023 ,0.004 ,-0.291 ,0.019 ,0.0155 ,0.0022 ,0.0108 ,0.0022 ,0.0365 ,0.0038 ,0.0314 ,0.0025 ,0.0000 
-0.550 ,0.000 ,0.250 ,0.166 ,0.012 ,0.023 ,0.004 ,-0.246 ,0.017 ,0.0154 ,0.0022 ,0.0118 ,0.0023 ,0.0309 ,0.0034 ,0.0290 ,0.0023 ,0.0000 
-0.550 ,0.000 ,0.500 ,0.170 ,0.012 ,0.025 ,0.004 ,-0.185 ,0.013 ,0.0132 ,0.0019 ,0.0136 ,0.0026 ,0.0271 ,0.0031 ,0.0270 ,0.0022 ,0.0000 
-0.550 ,0.000 ,0.750 ,0.170 ,0.012 ,0.025 ,0.004 ,-0.068 ,0.006 ,0.0109 ,0.0016 ,0.0166 ,0.0029 ,0.0206 ,0.0026 ,0.0240 ,0.0021 ,0.0000 
-0.550 ,0.000 ,0.875 ,0.228 ,0.015 ,0.024 ,0.004 ,0.042 ,0.005 ,0.0099 ,0.0015 ,0.0196 ,0.0033 ,0.0177 ,0.0024 ,0.0236 ,0.0022 ,0.0000 
-0.550 ,0.000 ,0.950 ,0.386 ,0.026 ,0.022 ,0.005 ,0.153 ,0.012 ,0.0129 ,0.0019 ,0.0209 ,0.0035 ,0.0155 ,0.0022 ,0.0246 ,0.0023 ,0.0000 
-0.550 ,0.000 ,1.000 ,0.650 ,0.043 ,0.017 ,0.008 ,0.229 ,0.017 ,0.0208 ,0.0029 ,0.0198 ,0.0034 ,0.0154 ,0.0022 ,0.0280 ,0.0025 ,0.0000 
-0.550 ,0.000 ,1.050 ,0.889 ,0.058 ,0.007 ,0.010 ,0.387 ,0.027 ,0.0287 ,0.0040 ,0.0190 ,0.0032 ,0.0143 ,0.0021 ,0.0310 ,0.0028 ,0.0000 
-0.550 ,0.000 ,1.125 ,1.007 ,0.066 ,-0.001 ,0.012 ,0.231 ,0.019 ,0.0353 ,0.0048 ,0.0189 ,0.0032 ,0.0148 ,0.0021 ,0.0345 ,0.0031 ,0.0000 
-0.550 ,0.000 ,1.250 ,1.076 ,0.070 ,-0.001 ,0.012 ,0.080 ,0.014 ,0.0321 ,0.0044 ,0.0181 ,0.0031 ,0.0121 ,0.0019 ,0.0312 ,0.0029 ,0.0000 
-0.550 ,0.000 ,1.500 ,1.131 ,0.073 ,-0.001 ,0.013 ,-0.008 ,0.013 ,0.0313 ,0.0043 ,0.0163 ,0.0029 ,0.0122 ,0.0019 ,0.0299 ,0.0028 ,0.0000 
-0.500 ,0.000 ,1.010 ,0.856 ,0.057 ,0.022 ,0.011 ,0.905 ,0.060 ,0.0268 ,0.0037 ,0.0392 ,0.0058 ,0.0325 ,0.0037 ,0.0493 ,0.0039 ,0.0000 
-0.500 ,0.000 ,1.050 ,1.004 ,0.066 ,0.004 ,0.012 ,0.558 ,0.038 ,0.0400 ,0.0054 ,0.0214 ,0.0037 ,0.0254 ,0.0032 ,0.0434 ,0.0036 ,0.0000 
-0.500 ,0.000 ,1.125 ,1.080 ,0.070 ,0.009 ,0.012 ,0.273 ,0.022 ,0.0359 ,0.0048 ,0.0184 ,0.0032 ,0.0164 ,0.0022 ,0.0353 ,0.0031 ,0.0000 
-0.500 ,0.000 ,1.250 ,1.108 ,0.072 ,0.007 ,0.013 ,0.091 ,0.014 ,0.0347 ,0.0048 ,0.0185 ,0.0032 ,0.0124 ,0.0018 ,0.0328 ,0.0030 ,0.0000 
-0.500 ,0.000 ,1.500 ,1.154 ,0.076 ,0.003 ,0.013 ,-0.007 ,0.013 ,0.0279 ,0.0041 ,0.0159 ,0.0029 ,0.0128 ,0.0018 ,0.0283 ,0.0027 ,0.0000 
-0.375 ,0.000 ,1.010 ,-0.190 ,0.017 ,-0.010 ,0.003 ,0.021 ,0.003 ,0.0589 ,0.0086 ,0.0578 ,0.0078 ,0.0140 ,0.0020 ,0.0654 ,0.0059 ,0.0000 
-0.375 ,0.000 ,1.050 ,0.382 ,0.027 ,0.006 ,0.005 ,0.017 ,0.005 ,0.2109 ,0.0273 ,0.0409 ,0.0059 ,0.0272 ,0.0031 ,0.1395 ,0.0140 ,0.0000 
-0.375 ,0.000 ,1.125 ,1.232 ,0.080 ,0.002 ,0.014 ,0.156 ,0.017 ,0.0696 ,0.0092 ,0.0229 ,0.0037 ,0.0188 ,0.0024 ,0.0556 ,0.0051 ,0.0000 
-0.375 ,0.000 ,1.250 ,1.157 ,0.075 ,0.003 ,0.013 ,0.055 ,0.014 ,0.0353 ,0.0048 ,0.0165 ,0.0032 ,0.0120 ,0.0018 ,0.0319 ,0.0030 ,0.0000 
-0.375 ,0.000 ,1.500 ,1.181 ,0.077 ,0.001 ,0.013 ,-0.009 ,0.013 ,0.0278 ,0.0042 ,0.0149 ,0.0028 ,0.0113 ,0.0017 ,0.0270 ,0.0027 ,0.0000 
-0.250 ,0.000 ,1.010 ,-0.043 ,0.010 ,-0.010 ,0.002 ,-0.021 ,0.002 ,0.0928 ,0.0124 ,0.1191 ,0.0153 ,0.0162 ,0.0022 ,0.1141 ,0.0099 ,0.0000 
-0.250 ,0.000 ,1.050 ,0.224 ,0.017 ,-0.003 ,0.003 ,-0.079 ,0.006 ,0.2243 ,0.0288 ,0.0590 ,0.0080 ,0.0409 ,0.0041 ,0.1621 ,0.0151 ,0.0000 
-0.250 ,0.000 ,1.125 ,1.198 ,0.078 ,-0.002 ,0.014 ,-0.043 ,0.014 ,0.1176 ,0.0153 ,0.0363 ,0.0053 ,0.0169 ,0.0022 ,0.0854 ,0.0082 ,0.0000 
-0.250 ,0.000 ,1.250 ,1.182 ,0.077 ,0.000 ,0.013 ,-0.024 ,0.013 ,0.0418 ,0.0056 ,0.0185 ,0.0032 ,0.0104 ,0.0016 ,0.0353 ,0.0033 ,0.0000 
-0.250 ,0.000 ,1.500 ,1.173 ,0.076 ,-0.001 ,0.014 ,-0.012 ,0.013 ,0.0298 ,0.0041 ,0.0151 ,0.0028 ,0.0118 ,0.0017 ,0.0284 ,0.0026 ,0.0000 
-0.125 ,0.000 ,1.010 ,0.288 ,0.019 ,-0.026 ,0.004 ,-0.034 ,0.004 ,0.0945 ,0.0125 ,0.1153 ,0.0148 ,0.0126 ,0.0018 ,0.1112 ,0.0097 ,0.0000 
-0.125 ,0.000 ,1.050 ,0.499 ,0.033 ,-0.005 ,0.006 ,-0.085 ,0.008 ,0.1222 ,0.0159 ,0.0676 ,0.0091 ,0.0333 ,0.0035 ,0.1115 ,0.0093 ,0.0000 
-0.125 ,0.000 ,1.125 ,0.984 ,0.065 ,-0.004 ,0.011 ,-0.102 ,0.013 ,0.1106 ,0.0149 ,0.0419 ,0.0060 ,0.0200 ,0.0025 ,0.0863 ,0.0081 ,0.0000 
-0.125 ,0.000 ,1.250 ,1.152 ,0.075 ,-0.002 ,0.013 ,-0.064 ,0.014 ,0.0432 ,0.0058 ,0.0209 ,0.0035 ,0.0095 ,0.0015 ,0.0368 ,0.0035 ,0.0000 
-0.125 ,0.000 ,1.500 ,1.159 ,0.075 ,0.001 ,0.013 ,-0.016 ,0.013 ,0.0335 ,0.0049 ,0.0154 ,0.0030 ,0.0119 ,0.0018 ,0.0304 ,0.0030 ,0.0000 
0.000 ,0.000 ,1.010 ,0.535 ,0.035 ,-0.013 ,0.007 ,-0.052 ,0.007 ,0.0795 ,0.0107 ,0.0786 ,0.0103 ,0.0124 ,0.0018 ,0.0853 ,0.0075 ,0.0000 
0.000 ,0.000 ,1.050 ,0.668 ,0.043 ,-0.010 ,0.008 ,-0.087 ,0.010 ,0.0940 ,0.0125 ,0.0622 ,0.0084 ,0.0245 ,0.0029 ,0.0903 ,0.0077 ,0.0000 
0.000 ,0.000 ,1.125 ,0.966 ,0.063 ,-0.008 ,0.011 ,-0.112 ,0.013 ,0.0817 ,0.0109 ,0.0422 ,0.0061 ,0.0184 ,0.0023 ,0.0712 ,0.0064 ,0.0000 
0.000 ,0.000 ,1.250 ,1.100 ,0.072 ,-0.004 ,0.012 ,-0.087 ,0.014 ,0.0401 ,0.0055 ,0.0223 ,0.0037 ,0.0096 ,0.0015 ,0.0360 ,0.0034 ,0.0000 
0.000 ,0.000 ,1.500 ,1.133 ,0.074 ,-0.004 ,0.013 ,-0.018 ,0.013 ,0.0296 ,0.0041 ,0.0155 ,0.0029 ,0.0109 ,0.0016 ,0.0280 ,0.0026 ,0.0000 
0.050 ,0.000 ,0.005 ,-0.089 ,0.006 ,0.008 ,0.006 ,0.027 ,0.002 ,0.0130 ,0.0019 ,0.0211 ,0.0035 ,0.0041 ,0.0009 ,0.0191 ,0.0020 ,0.0000 
0.050 ,0.000 ,0.050 ,-0.115 ,0.008 ,0.010 ,0.004 ,0.032 ,0.003 ,0.0119 ,0.0017 ,0.0188 ,0.0032 ,0.0065 ,0.0012 ,0.0186 ,0.0019 ,0.0000 
0.050 ,0.000 ,0.125 ,-0.088 ,0.006 ,0.012 ,0.003 ,0.039 ,0.003 ,0.0124 ,0.0018 ,0.0153 ,0.0028 ,0.0103 ,0.0016 ,0.0190 ,0.0019 ,0.0000 
0.050 ,0.000 ,0.250 ,-0.073 ,0.006 ,0.015 ,0.002 ,0.078 ,0.008 ,0.0135 ,0.0019 ,0.0147 ,0.0027 ,0.0134 ,0.0020 ,0.0208 ,0.0019 ,0.0000 
0.050 ,0.000 ,0.500 ,-0.051 ,0.004 ,0.009 ,0.002 ,0.132 ,0.009 ,0.0121 ,0.0017 ,0.0159 ,0.0029 ,0.0142 ,0.0020 ,0.0211 ,0.0020 ,0.0000 
0.050 ,0.000 ,0.750 ,-0.030 ,0.003 ,0.008 ,0.002 ,0.181 ,0.012 ,0.0107 ,0.0015 ,0.0134 ,0.0025 ,0.0123 ,0.0018 ,0.0182 ,0.0017 ,0.0000 
0.050 ,0.000 ,0.875 ,0.000 ,0.002 ,0.006 ,0.001 ,0.165 ,0.011 ,0.0095 ,0.0014 ,0.0127 ,0.0024 ,0.0088 ,0.0014 ,0.0155 ,0.0016 ,0.0000 
0.050 ,0.000 ,0.950 ,0.028 ,0.003 ,0.001 ,0.002 ,0.126 ,0.008 ,0.0091 ,0.0013 ,0.0164 ,0.0029 ,0.0093 ,0.0015 ,0.0174 ,0.0018 ,0.0000 
0.050 ,0.000 ,1.000 ,0.391 ,0.026 ,-0.009 ,0.005 ,-0.062 ,0.006 ,0.0504 ,0.0067 ,0.0212 ,0.0037 ,0.0198 ,0.0025 ,0.0457 ,0.0040 ,0.0000 
0.050 ,0.000 ,1.050 ,0.745 ,0.048 ,-0.007 ,0.009 ,-0.091 ,0.010 ,0.1013 ,0.0133 ,0.0554 ,0.0076 ,0.0249 ,0.0029 ,0.0908 ,0.0078 ,0.0000 
0.050 ,0.000 ,1.125 ,0.980 ,0.064 ,-0.007 ,0.011 ,-0.108 ,0.013 ,0.1050 ,0.0137 ,0.0423 ,0.0060 ,0.0182 ,0.0023 ,0.0827 ,0.0076 ,0.0000 
0.050 ,0.000 ,1.250 ,1.097 ,0.071 ,-0.007 ,0.012 ,-0.092 ,0.014 ,0.0540 ,0.0073 ,0.0208 ,0.0035 ,0.0096 ,0.0015 ,0.0422 ,0.0041 ,0.0000 
0.050 ,0.000 ,1.500 ,1.131 ,0.073 ,-0.003 ,0.013 ,-0.018 ,0.013 ,0.0325 ,0.0044 ,0.0152 ,0.0028 ,0.0112 ,0.0017 ,0.0295 ,0.0027 ,0.0000 
0.125 ,0.000 ,0.005 ,-0.133 ,0.009 ,0.003 ,0.002 ,0.026 ,0.003 ,0.0158 ,0.0023 ,0.0285 ,0.0044 ,0.0059 ,0.0011 ,0.0251 ,0.0026 ,0.0000 
0.125 ,0.000 ,0.050 ,-0.187 ,0.012 ,0.004 ,0.005 ,0.032 ,0.004 ,0.0193 ,0.0027 ,0.0264 ,0.0042 ,0.0080 ,0.0014 ,0.0268 ,0.0026 ,0.0000 
0.125 ,0.000 ,0.125 ,-0.168 ,0.011 ,0.006 ,0.004 ,0.034 ,0.003 ,0.0194 ,0.0028 ,0.0221 ,0.0036 ,0.0125 ,0.0018 ,0.0270 ,0.0025 ,0.0000 
0.125 ,0.000 ,0.250 ,-0.158 ,0.010 ,0.009 ,0.004 ,0.052 ,0.004 ,0.0199 ,0.0028 ,0.0198 ,0.0034 ,0.0149 ,0.0020 ,0.0273 ,0.0024 ,0.0000 
0.125 ,0.000 ,0.500 ,-0.129 ,0.009 ,0.011 ,0.002 ,0.093 ,0.006 ,0.0189 ,0.0027 ,0.0193 ,0.0033 ,0.0150 ,0.0021 ,0.0266 ,0.0024 ,0.0000 
0.125 ,0.000 ,0.750 ,-0.081 ,0.006 ,0.007 ,0.002 ,0.119 ,0.008 ,0.0166 ,0.0023 ,0.0135 ,0.0025 ,0.0155 ,0.0023 ,0.0228 ,0.0021 ,0.0000 
0.125 ,0.000 ,0.875 ,-0.024 ,0.002 ,0.004 ,0.002 ,0.109 ,0.007 ,0.0162 ,0.0023 ,0.0123 ,0.0024 ,0.0155 ,0.0021 ,0.0220 ,0.0019 ,0.0000 
0.125 ,0.000 ,0.950 ,0.127 ,0.008 ,-0.006 ,0.002 ,0.034 ,0.003 ,0.0223 ,0.0031 ,0.0159 ,0.0028 ,0.0248 ,0.0029 ,0.0315 ,0.0025 ,0.0000 
