x/H,y/H,z/H,<u/uH>,Uu,<v/uH>,Uv,<w/uH>,Uw,<urms/uH>,Uurms,<vrms/uH>,Uvrms,<wrms/uH>,Uwrms,<tke/uH>,Utke,buffer
0.500 ,0.000 ,0.0625 ,-0.059 ,0.004 ,-0.004 ,0.005 ,0.017 ,0.001 ,0.0279 ,0.0038 ,0.0557 ,0.0077 ,0.0150 ,0.0020 ,0.0493 ,0.0044 ,0.0000 
0.500 ,0.125 ,0.0625 ,0.063 ,0.005 ,-0.087 ,0.006 ,0.010 ,0.001 ,0.0452 ,0.0060 ,0.0452 ,0.0064 ,0.0136 ,0.0019 ,0.0520 ,0.0045 ,0.0000 
0.500 ,0.200 ,0.0625 ,0.156 ,0.012 ,-0.074 ,0.007 ,-0.003 ,0.002 ,0.0701 ,0.0092 ,0.0380 ,0.0056 ,0.0135 ,0.0019 ,0.0608 ,0.0055 ,0.0000 
0.500 ,0.250 ,0.0625 ,0.220 ,0.016 ,-0.082 ,0.006 ,-0.016 ,0.003 ,0.0806 ,0.0106 ,0.0311 ,0.0050 ,0.0130 ,0.0019 ,0.0624 ,0.0059 ,0.0000 
0.500 ,0.300 ,0.0625 ,0.386 ,0.026 ,-0.083 ,0.009 ,-0.027 ,0.005 ,0.0675 ,0.0090 ,0.0304 ,0.0048 ,0.0120 ,0.0017 ,0.0549 ,0.0052 ,0.0000 
0.500 ,0.375 ,0.0625 ,0.511 ,0.033 ,-0.069 ,0.008 ,-0.033 ,0.006 ,0.0745 ,0.0099 ,0.0216 ,0.0036 ,0.0115 ,0.0017 ,0.0538 ,0.0053 ,0.0000 
0.500 ,0.500 ,0.0625 ,0.608 ,0.041 ,-0.023 ,0.007 ,-0.025 ,0.007 ,0.0526 ,0.0072 ,0.0193 ,0.0034 ,0.0094 ,0.0015 ,0.0406 ,0.0041 ,0.0000 
0.500 ,0.625 ,0.0625 ,0.678 ,0.044 ,0.030 ,0.010 ,-0.007 ,0.008 ,0.0312 ,0.0043 ,0.0172 ,0.0031 ,0.0079 ,0.0013 ,0.0281 ,0.0027 ,0.0000 
0.500 ,0.750 ,0.0625 ,0.702 ,0.045 ,0.092 ,0.010 ,0.007 ,0.008 ,0.0286 ,0.0039 ,0.0202 ,0.0034 ,0.0061 ,0.0011 ,0.0275 ,0.0027 ,0.0000 
0.500 ,1.000 ,0.0625 ,0.701 ,0.045 ,0.107 ,0.011 ,0.018 ,0.008 ,0.0181 ,0.0026 ,0.0290 ,0.0046 ,0.0042 ,0.0009 ,0.0257 ,0.0027 ,0.0000 
0.750 ,0.000 ,0.0625 ,0.105 ,0.007 ,0.011 ,0.002 ,-0.009 ,0.002 ,0.0368 ,0.0049 ,0.0562 ,0.0077 ,0.0146 ,0.0020 ,0.0538 ,0.0047 ,0.0000 
0.750 ,0.125 ,0.0625 ,0.142 ,0.009 ,-0.028 ,0.005 ,-0.023 ,0.002 ,0.0488 ,0.0067 ,0.0442 ,0.0063 ,0.0136 ,0.0019 ,0.0533 ,0.0047 ,0.0000 
0.750 ,0.200 ,0.0625 ,0.202 ,0.014 ,-0.029 ,0.005 ,-0.028 ,0.003 ,0.0685 ,0.0091 ,0.0387 ,0.0061 ,0.0135 ,0.0019 ,0.0603 ,0.0056 ,0.0000 
0.750 ,0.250 ,0.0625 ,0.253 ,0.018 ,-0.039 ,0.004 ,-0.029 ,0.004 ,0.0824 ,0.0108 ,0.0316 ,0.0049 ,0.0133 ,0.0019 ,0.0636 ,0.0060 ,0.0000 
0.750 ,0.300 ,0.0625 ,0.357 ,0.024 ,-0.025 ,0.005 ,-0.030 ,0.005 ,0.0810 ,0.0108 ,0.0284 ,0.0045 ,0.0119 ,0.0017 ,0.0606 ,0.0059 ,0.0000 
0.750 ,0.375 ,0.0625 ,0.474 ,0.031 ,-0.019 ,0.006 ,-0.030 ,0.006 ,0.0915 ,0.0120 ,0.0225 ,0.0039 ,0.0117 ,0.0017 ,0.0628 ,0.0064 ,0.0000 
0.750 ,0.500 ,0.0625 ,0.570 ,0.038 ,0.005 ,0.008 ,-0.020 ,0.007 ,0.0454 ,0.0061 ,0.0205 ,0.0036 ,0.0096 ,0.0015 ,0.0377 ,0.0036 ,0.0000 
0.750 ,0.625 ,0.0625 ,0.615 ,0.040 ,0.021 ,0.008 ,-0.008 ,0.007 ,0.0305 ,0.0043 ,0.0204 ,0.0037 ,0.0082 ,0.0014 ,0.0295 ,0.0029 ,0.0000 
0.750 ,0.750 ,0.0625 ,0.653 ,0.043 ,0.036 ,0.009 ,0.003 ,0.007 ,0.0278 ,0.0038 ,0.0208 ,0.0036 ,0.0068 ,0.0012 ,0.0277 ,0.0027 ,0.0000 
0.750 ,1.000 ,0.0625 ,0.685 ,0.044 ,0.055 ,0.016 ,0.017 ,0.008 ,0.0212 ,0.0029 ,0.0262 ,0.0043 ,0.0043 ,0.0009 ,0.0259 ,0.0026 ,0.0000 
1.000 ,0.000 ,0.0625 ,0.214 ,0.014 ,-0.009 ,0.004 ,-0.014 ,0.003 ,0.0296 ,0.0040 ,0.0479 ,0.0071 ,0.0127 ,0.0018 ,0.0451 ,0.0042 ,0.0000 
1.000 ,0.125 ,0.0625 ,0.232 ,0.015 ,-0.018 ,0.004 ,-0.030 ,0.004 ,0.0322 ,0.0046 ,0.0433 ,0.0062 ,0.0120 ,0.0018 ,0.0438 ,0.0039 ,0.0000 
1.000 ,0.200 ,0.0625 ,0.270 ,0.018 ,-0.024 ,0.004 ,-0.034 ,0.004 ,0.0447 ,0.0060 ,0.0331 ,0.0050 ,0.0115 ,0.0017 ,0.0447 ,0.0040 ,0.0000 
1.000 ,0.250 ,0.0625 ,0.297 ,0.019 ,-0.020 ,0.004 ,-0.034 ,0.004 ,0.0479 ,0.0064 ,0.0305 ,0.0047 ,0.0114 ,0.0018 ,0.0449 ,0.0041 ,0.0000 
1.000 ,0.300 ,0.0625 ,0.338 ,0.023 ,-0.017 ,0.006 ,-0.031 ,0.004 ,0.0512 ,0.0069 ,0.0273 ,0.0047 ,0.0109 ,0.0016 ,0.0447 ,0.0043 ,0.0000 
1.000 ,0.375 ,0.0625 ,0.442 ,0.029 ,-0.014 ,0.005 ,-0.029 ,0.005 ,0.0596 ,0.0080 ,0.0266 ,0.0044 ,0.0104 ,0.0016 ,0.0483 ,0.0046 ,0.0000 
1.000 ,0.500 ,0.0625 ,0.559 ,0.036 ,0.009 ,0.008 ,-0.020 ,0.006 ,0.0429 ,0.0060 ,0.0216 ,0.0037 ,0.0083 ,0.0014 ,0.0364 ,0.0036 ,0.0000 
1.000 ,0.625 ,0.0625 ,0.590 ,0.038 ,0.021 ,0.009 ,-0.007 ,0.007 ,0.0303 ,0.0042 ,0.0192 ,0.0035 ,0.0072 ,0.0013 ,0.0284 ,0.0028 ,0.0000 
1.000 ,0.750 ,0.0625 ,0.624 ,0.041 ,0.032 ,0.009 ,0.000 ,0.007 ,0.0253 ,0.0035 ,0.0197 ,0.0036 ,0.0058 ,0.0011 ,0.0254 ,0.0026 ,0.0000 
1.000 ,1.000 ,0.0625 ,0.680 ,0.044 ,0.047 ,0.009 ,0.019 ,0.008 ,0.0230 ,0.0032 ,0.0262 ,0.0042 ,0.0043 ,0.0009 ,0.0267 ,0.0027 ,0.0000 
1.250 ,0.000 ,0.0625 ,0.286 ,0.019 ,-0.008 ,0.006 ,-0.024 ,0.005 ,0.0272 ,0.0037 ,0.0362 ,0.0053 ,0.0114 ,0.0017 ,0.0374 ,0.0034 ,0.0000 
1.250 ,0.125 ,0.0625 ,0.314 ,0.021 ,-0.018 ,0.005 ,-0.036 ,0.004 ,0.0281 ,0.0039 ,0.0328 ,0.0050 ,0.0110 ,0.0017 ,0.0360 ,0.0033 ,0.0000 
1.250 ,0.200 ,0.0625 ,0.339 ,0.023 ,-0.025 ,0.005 ,-0.037 ,0.005 ,0.0323 ,0.0045 ,0.0354 ,0.0055 ,0.0107 ,0.0016 ,0.0392 ,0.0037 ,0.0000 
1.250 ,0.250 ,0.0625 ,0.366 ,0.025 ,-0.020 ,0.006 ,-0.036 ,0.006 ,0.0341 ,0.0046 ,0.0320 ,0.0051 ,0.0102 ,0.0016 ,0.0381 ,0.0035 ,0.0000 
1.250 ,0.300 ,0.0625 ,0.403 ,0.027 ,-0.016 ,0.006 ,-0.033 ,0.005 ,0.0350 ,0.0047 ,0.0229 ,0.0039 ,0.0105 ,0.0016 ,0.0343 ,0.0032 ,0.0000 
1.250 ,0.375 ,0.0625 ,0.471 ,0.031 ,-0.017 ,0.006 ,-0.030 ,0.006 ,0.0342 ,0.0046 ,0.0245 ,0.0039 ,0.0088 ,0.0014 ,0.0337 ,0.0031 ,0.0000 
1.250 ,0.500 ,0.0625 ,0.540 ,0.036 ,0.002 ,0.007 ,-0.021 ,0.006 ,0.0314 ,0.0046 ,0.0188 ,0.0033 ,0.0077 ,0.0013 ,0.0290 ,0.0029 ,0.0000 
1.250 ,0.625 ,0.0625 ,0.577 ,0.038 ,0.020 ,0.007 ,-0.006 ,0.006 ,0.0286 ,0.0040 ,0.0196 ,0.0033 ,0.0070 ,0.0012 ,0.0276 ,0.0027 ,0.0000 
1.250 ,0.750 ,0.0625 ,0.619 ,0.040 ,0.029 ,0.009 ,0.003 ,0.007 ,0.0281 ,0.0040 ,0.0205 ,0.0035 ,0.0063 ,0.0012 ,0.0275 ,0.0027 ,0.0000 
1.250 ,1.000 ,0.0625 ,0.680 ,0.046 ,0.040 ,0.010 ,0.018 ,0.008 ,0.0238 ,0.0034 ,0.0222 ,0.0038 ,0.0041 ,0.0009 ,0.0250 ,0.0026 ,0.0000 
0.250 ,0.000 ,0.005 ,-0.167 ,0.012 ,-0.001 ,0.003 ,0.403 ,0.026 ,0.0160 ,0.0022 ,0.0384 ,0.0056 ,0.0010 ,0.0010 ,0.0277 ,0.0031 ,0.0000 
0.250 ,0.000 ,0.050 ,-0.166 ,0.012 ,-0.001 ,0.006 ,0.113 ,0.008 ,0.0217 ,0.0030 ,0.0379 ,0.0055 ,0.0089 ,0.0017 ,0.0343 ,0.0033 ,0.0000 
0.250 ,0.000 ,0.125 ,-0.186 ,0.012 ,-0.001 ,0.006 ,0.032 ,0.004 ,0.0251 ,0.0034 ,0.0374 ,0.0054 ,0.0167 ,0.0023 ,0.0396 ,0.0034 ,0.0000 
0.250 ,0.000 ,0.250 ,-0.197 ,0.014 ,-0.002 ,0.006 ,0.042 ,0.004 ,0.0238 ,0.0033 ,0.0316 ,0.0048 ,0.0228 ,0.0027 ,0.0391 ,0.0032 ,0.0000 
0.250 ,0.000 ,0.500 ,-0.160 ,0.012 ,-0.002 ,0.002 ,0.061 ,0.005 ,0.0256 ,0.0035 ,0.0286 ,0.0044 ,0.0252 ,0.0029 ,0.0397 ,0.0032 ,0.0000 
0.250 ,0.000 ,0.750 ,-0.086 ,0.006 ,-0.003 ,0.003 ,0.074 ,0.006 ,0.0205 ,0.0029 ,0.0285 ,0.0044 ,0.0260 ,0.0030 ,0.0375 ,0.0030 ,0.0000 
0.250 ,0.000 ,0.875 ,0.015 ,0.002 ,0.000 ,0.002 ,0.015 ,0.003 ,0.0181 ,0.0025 ,0.0310 ,0.0047 ,0.0323 ,0.0035 ,0.0408 ,0.0032 ,0.0000 
0.250 ,0.000 ,0.950 ,0.316 ,0.021 ,0.002 ,0.004 ,-0.082 ,0.006 ,0.0363 ,0.0049 ,0.0381 ,0.0055 ,0.0378 ,0.0039 ,0.0561 ,0.0042 ,0.0000 
0.250 ,0.000 ,1.000 ,0.648 ,0.042 ,0.003 ,0.008 ,-0.129 ,0.011 ,0.0887 ,0.0116 ,0.0535 ,0.0075 ,0.0247 ,0.0029 ,0.0835 ,0.0070 ,0.0000 
0.250 ,0.000 ,1.050 ,0.857 ,0.056 ,0.001 ,0.011 ,-0.144 ,0.013 ,0.0829 ,0.0109 ,0.0510 ,0.0071 ,0.0142 ,0.0020 ,0.0741 ,0.0066 ,0.0000 
0.250 ,0.000 ,1.125 ,0.997 ,0.065 ,0.002 ,0.011 ,-0.134 ,0.014 ,0.0709 ,0.0096 ,0.0399 ,0.0058 ,0.0107 ,0.0016 ,0.0608 ,0.0056 ,0.0000 
0.250 ,0.000 ,1.250 ,1.084 ,0.070 ,0.001 ,0.013 ,-0.113 ,0.014 ,0.0419 ,0.0056 ,0.0238 ,0.0039 ,0.0090 ,0.0015 ,0.0374 ,0.0035 ,0.0000 
0.250 ,0.000 ,1.500 ,1.134 ,0.074 ,0.000 ,0.013 ,-0.019 ,0.013 ,0.0294 ,0.0041 ,0.0152 ,0.0027 ,0.0108 ,0.0016 ,0.0277 ,0.0026 ,0.0000 
0.250 ,0.125 ,0.005 ,-0.106 ,0.007 ,-0.045 ,0.005 ,-0.001 ,0.001 ,0.0242 ,0.0035 ,0.0455 ,0.0065 ,0.0010 ,0.0004 ,0.0353 ,0.0037 ,0.0000 
0.250 ,0.125 ,0.050 ,-0.084 ,0.011 ,-0.020 ,0.003 ,0.016 ,0.002 ,0.0348 ,0.0048 ,0.0429 ,0.0061 ,0.0099 ,0.0016 ,0.0438 ,0.0040 ,0.0000 
0.250 ,0.125 ,0.125 ,-0.094 ,0.007 ,-0.008 ,0.004 ,0.019 ,0.003 ,0.0286 ,0.0039 ,0.0398 ,0.0058 ,0.0177 ,0.0023 ,0.0431 ,0.0037 ,0.0000 
0.250 ,0.125 ,0.250 ,-0.093 ,0.006 ,-0.023 ,0.004 ,0.016 ,0.002 ,0.0264 ,0.0036 ,0.0331 ,0.0050 ,0.0279 ,0.0032 ,0.0437 ,0.0034 ,0.0000 
0.250 ,0.125 ,0.500 ,-0.059 ,0.005 ,-0.015 ,0.002 ,0.027 ,0.003 ,0.0277 ,0.0038 ,0.0338 ,0.0051 ,0.0338 ,0.0036 ,0.0477 ,0.0036 ,0.0000 
0.250 ,0.125 ,0.750 ,0.015 ,0.003 ,0.010 ,0.001 ,0.045 ,0.003 ,0.0213 ,0.0030 ,0.0331 ,0.0050 ,0.0328 ,0.0035 ,0.0436 ,0.0034 ,0.0000 
0.250 ,0.125 ,0.875 ,0.075 ,0.006 ,0.025 ,0.003 ,0.013 ,0.002 ,0.0177 ,0.0025 ,0.0317 ,0.0048 ,0.0369 ,0.0039 ,0.0431 ,0.0033 ,0.0000 
0.250 ,0.125 ,0.950 ,0.363 ,0.024 ,-0.005 ,0.004 ,-0.076 ,0.007 ,0.0383 ,0.0053 ,0.0321 ,0.0049 ,0.0397 ,0.0041 ,0.0551 ,0.0041 ,0.0000 
0.250 ,0.125 ,1.000 ,0.674 ,0.044 ,-0.046 ,0.011 ,-0.111 ,0.010 ,0.0968 ,0.0127 ,0.0451 ,0.0064 ,0.0252 ,0.0029 ,0.0836 ,0.0072 ,0.0000 
0.250 ,0.125 ,1.050 ,0.894 ,0.059 ,-0.055 ,0.011 ,-0.139 ,0.014 ,0.0855 ,0.0114 ,0.0459 ,0.0065 ,0.0147 ,0.0020 ,0.0731 ,0.0066 ,0.0000 
0.250 ,0.125 ,1.125 ,1.019 ,0.067 ,-0.037 ,0.012 ,-0.144 ,0.015 ,0.0729 ,0.0096 ,0.0379 ,0.0055 ,0.0113 ,0.0017 ,0.0611 ,0.0056 ,0.0000 
0.250 ,0.125 ,1.250 ,1.085 ,0.071 ,-0.024 ,0.012 ,-0.107 ,0.014 ,0.0425 ,0.0058 ,0.0240 ,0.0040 ,0.0096 ,0.0015 ,0.0380 ,0.0036 ,0.0000 
0.250 ,0.125 ,1.500 ,1.133 ,0.073 ,-0.014 ,0.013 ,-0.018 ,0.013 ,0.0289 ,0.0039 ,0.0148 ,0.0027 ,0.0110 ,0.0017 ,0.0274 ,0.0025 ,0.0000 
0.250 ,0.200 ,0.005 ,0.120 ,0.012 ,-0.085 ,0.006 ,-0.014 ,0.002 ,0.0419 ,0.0057 ,0.0444 ,0.0064 ,0.0010 ,0.0004 ,0.0436 ,0.0043 ,0.0000 
0.250 ,0.200 ,0.050 ,0.112 ,0.009 ,-0.069 ,0.005 ,0.000 ,0.002 ,0.0492 ,0.0067 ,0.0380 ,0.0057 ,0.0107 ,0.0016 ,0.0490 ,0.0045 ,0.0000 
0.250 ,0.200 ,0.125 ,0.115 ,0.010 ,-0.057 ,0.004 ,0.015 ,0.003 ,0.0404 ,0.0055 ,0.0365 ,0.0053 ,0.0171 ,0.0023 ,0.0470 ,0.0040 ,0.0000 
0.250 ,0.200 ,0.250 ,0.090 ,0.007 ,-0.039 ,0.004 ,0.004 ,0.003 ,0.0399 ,0.0054 ,0.0354 ,0.0053 ,0.0296 ,0.0033 ,0.0525 ,0.0041 ,0.0000 
0.250 ,0.200 ,0.500 ,0.122 ,0.010 ,-0.047 ,0.004 ,0.017 ,0.002 ,0.0383 ,0.0052 ,0.0347 ,0.0052 ,0.0408 ,0.0041 ,0.0569 ,0.0042 ,0.0000 
0.250 ,0.200 ,0.750 ,0.192 ,0.013 ,-0.040 ,0.004 ,0.000 ,0.006 ,0.0418 ,0.0056 ,0.0490 ,0.0068 ,0.0391 ,0.0041 ,0.0649 ,0.0049 ,0.0000 
0.250 ,0.200 ,0.875 ,0.195 ,0.013 ,-0.033 ,0.003 ,-0.011 ,0.004 ,0.0281 ,0.0038 ,0.0452 ,0.0064 ,0.0386 ,0.0040 ,0.0559 ,0.0042 ,0.0000 
0.250 ,0.200 ,0.950 ,0.487 ,0.033 ,-0.016 ,0.006 ,-0.065 ,0.007 ,0.0436 ,0.0060 ,0.0374 ,0.0055 ,0.0391 ,0.0040 ,0.0601 ,0.0045 ,0.0000 
0.250 ,0.200 ,1.000 ,0.763 ,0.050 ,-0.037 ,0.009 ,-0.104 ,0.011 ,0.0975 ,0.0127 ,0.0399 ,0.0058 ,0.0266 ,0.0031 ,0.0820 ,0.0072 ,0.0000 
0.250 ,0.200 ,1.050 ,0.907 ,0.059 ,-0.053 ,0.011 ,-0.133 ,0.014 ,0.0870 ,0.0114 ,0.0395 ,0.0057 ,0.0163 ,0.0022 ,0.0714 ,0.0065 ,0.0000 
0.250 ,0.200 ,1.125 ,1.062 ,0.069 ,-0.042 ,0.013 ,-0.133 ,0.015 ,0.0669 ,0.0091 ,0.0352 ,0.0052 ,0.0124 ,0.0019 ,0.0573 ,0.0053 ,0.0000 
0.250 ,0.200 ,1.250 ,1.084 ,0.070 ,-0.026 ,0.012 ,-0.107 ,0.014 ,0.0376 ,0.0051 ,0.0234 ,0.0039 ,0.0103 ,0.0016 ,0.0357 ,0.0033 ,0.0000 
0.250 ,0.200 ,1.500 ,1.142 ,0.074 ,-0.013 ,0.013 ,-0.018 ,0.013 ,0.0285 ,0.0039 ,0.0149 ,0.0027 ,0.0115 ,0.0017 ,0.0274 ,0.0025 ,0.0000 
0.250 ,0.250 ,0.005 ,0.238 ,0.021 ,-0.111 ,0.008 ,-0.010 ,0.003 ,0.0476 ,0.0074 ,0.0377 ,0.0055 ,0.0009 ,0.0004 ,0.0431 ,0.0046 ,0.0000 
0.250 ,0.250 ,0.050 ,0.279 ,0.019 ,-0.082 ,0.007 ,-0.012 ,0.003 ,0.0750 ,0.0101 ,0.0406 ,0.0058 ,0.0107 ,0.0016 ,0.0631 ,0.0059 ,0.0000 
0.250 ,0.250 ,0.125 ,0.290 ,0.023 ,-0.071 ,0.006 ,0.010 ,0.004 ,0.0690 ,0.0092 ,0.0422 ,0.0060 ,0.0213 ,0.0026 ,0.0663 ,0.0057 ,0.0000 
0.250 ,0.250 ,0.250 ,0.275 ,0.019 ,-0.047 ,0.005 ,0.017 ,0.008 ,0.0650 ,0.0087 ,0.0358 ,0.0053 ,0.0372 ,0.0039 ,0.0690 ,0.0055 ,0.0000 
0.250 ,0.250 ,0.500 ,0.317 ,0.022 ,-0.072 ,0.007 ,-0.007 ,0.004 ,0.0632 ,0.0085 ,0.0380 ,0.0057 ,0.0521 ,0.0051 ,0.0767 ,0.0057 ,0.0000 
0.250 ,0.250 ,0.750 ,0.475 ,0.033 ,-0.132 ,0.010 ,-0.057 ,0.011 ,0.0822 ,0.0109 ,0.0445 ,0.0063 ,0.0465 ,0.0045 ,0.0866 ,0.0067 ,0.0000 
0.250 ,0.250 ,0.875 ,0.522 ,0.036 ,-0.075 ,0.008 ,-0.054 ,0.007 ,0.0792 ,0.0104 ,0.0469 ,0.0067 ,0.0337 ,0.0036 ,0.0799 ,0.0064 ,0.0000 
0.250 ,0.250 ,0.950 ,0.624 ,0.041 ,-0.072 ,0.009 ,-0.060 ,0.008 ,0.0671 ,0.0090 ,0.0416 ,0.0059 ,0.0357 ,0.0038 ,0.0722 ,0.0057 ,0.0000 
0.250 ,0.250 ,1.000 ,0.821 ,0.053 ,-0.040 ,0.010 ,-0.093 ,0.011 ,0.0667 ,0.0088 ,0.0396 ,0.0057 ,0.0284 ,0.0032 ,0.0673 ,0.0055 ,0.0000 
0.250 ,0.250 ,1.050 ,0.970 ,0.063 ,-0.033 ,0.011 ,-0.108 ,0.013 ,0.0618 ,0.0082 ,0.0408 ,0.0059 ,0.0189 ,0.0025 ,0.0607 ,0.0052 ,0.0000 
0.250 ,0.250 ,1.125 ,1.036 ,0.067 ,-0.041 ,0.012 ,-0.113 ,0.014 ,0.0512 ,0.0068 ,0.0348 ,0.0055 ,0.0137 ,0.0020 ,0.0498 ,0.0045 ,0.0000 
0.250 ,0.250 ,1.250 ,1.080 ,0.071 ,-0.035 ,0.013 ,-0.094 ,0.014 ,0.0374 ,0.0050 ,0.0247 ,0.0040 ,0.0109 ,0.0017 ,0.0365 ,0.0033 ,0.0000 
0.250 ,0.250 ,1.500 ,1.124 ,0.073 ,-0.012 ,0.013 ,-0.018 ,0.013 ,0.0264 ,0.0037 ,0.0165 ,0.0029 ,0.0110 ,0.0017 ,0.0270 ,0.0025 ,0.0000 
0.250 ,0.300 ,0.005 ,0.330 ,0.023 ,-0.066 ,0.006 ,-0.008 ,0.004 ,0.0440 ,0.0061 ,0.0312 ,0.0047 ,0.0008 ,0.0003 ,0.0380 ,0.0038 ,0.0000 
0.250 ,0.300 ,0.050 ,0.408 ,0.027 ,-0.054 ,0.006 ,-0.022 ,0.005 ,0.0641 ,0.0088 ,0.0334 ,0.0050 ,0.0100 ,0.0016 ,0.0538 ,0.0051 ,0.0000 
0.250 ,0.300 ,0.125 ,0.404 ,0.028 ,-0.084 ,0.008 ,-0.025 ,0.005 ,0.0685 ,0.0091 ,0.0337 ,0.0051 ,0.0193 ,0.0024 ,0.0607 ,0.0054 ,0.0000 
0.250 ,0.300 ,0.250 ,0.394 ,0.026 ,-0.078 ,0.007 ,-0.002 ,0.005 ,0.0682 ,0.0093 ,0.0346 ,0.0052 ,0.0360 ,0.0038 ,0.0694 ,0.0057 ,0.0000 
0.250 ,0.300 ,0.500 ,0.454 ,0.030 ,-0.097 ,0.009 ,-0.009 ,0.006 ,0.0725 ,0.0098 ,0.0360 ,0.0054 ,0.0524 ,0.0050 ,0.0805 ,0.0061 ,0.0000 
0.250 ,0.300 ,0.750 ,0.627 ,0.042 ,-0.143 ,0.012 ,-0.047 ,0.008 ,0.0736 ,0.0100 ,0.0417 ,0.0060 ,0.0511 ,0.0049 ,0.0832 ,0.0063 ,0.0000 
0.250 ,0.300 ,0.875 ,0.717 ,0.048 ,-0.086 ,0.010 ,-0.071 ,0.009 ,0.0776 ,0.0102 ,0.0413 ,0.0060 ,0.0407 ,0.0041 ,0.0798 ,0.0063 ,0.0000 
